place,region,lat,lon,through,embodied,total
DOMESTIC,Britain,,,0,91780336,91780336
Australasia,Australasia & Pacific,-30.0,145.0,1116156,28988211,30104367
United States Of America,North America,40.71,-74.01,1397915,28658805,30056721
British East Indies,India & Southeast Asia,20.0,77.0,6187050,11929432,18116482
Spain,Europe,43.26,-2.93,850523,11156079,12006602
China,China & Japan,31.23,121.47,5062824,4003286,9066110
France,Europe,49.49,0.11,2806388,4150451,6956839
Russia,Europe,59.94,30.31,376445,6308565,6685010
Egypt,Mediterranean & Levant,31.2,29.92,82266,6332544,6414809
British Possessions In South Africa,Africa,-32.0,24.0,387313,5301638,5688952
Germany,Europe,53.55,9.99,880259,3827471,4707730
Belgium,Europe,51.22,4.4,970668,3266635,4237302
Holland,Europe,51.92,4.48,1285350,2634134,3919484
UNTRACED,Untraced,,,366992,2858772,3225764
Brazil,South America,-22.91,-43.17,135868,1685194,1821061
Turkey,Mediterranean & Levant,41.01,28.98,261976,1191268,1453245
Italy,Europe,44.41,8.93,427469,857080,1284550
Chile,South America,-33.05,-71.61,52105,1042593,1094698
Philippine Islands,India & Southeast Asia,14.6,120.98,411929,377679,789608
Falkland Islands,South America,-51.7,-57.85,19947,761280,781227
Greece,Mediterranean & Levant,37.94,23.65,295283,474694,769976
Argentine Republic,South America,-34.61,-58.38,143674,571134,714807
Peru,South America,-12.05,-77.14,46748,501163,547911
Portugal,Europe,38.72,-9.13,268119,271926,540045
Algeria,Mediterranean & Levant,36.75,3.06,12377,518999,531376
Japan,China & Japan,35.44,139.64,69959,455665,525624
British West India Islands,Caribbean & Central America,15.0,-75.0,220294,302789,523082
Canada,North America,45.5,-73.57,215195,270371,485566
Java,India & Southeast Asia,-6.2,106.85,79142,345175,424317
Sweden,Europe,57.71,11.97,115502,240563,356065
British Guiana,South America,6.8,-58.16,110743,214395,325138
Denmark,Europe,55.68,12.57,44677,161593,206270
Morocco,Mediterranean & Levant,35.78,-5.81,22414,183378,205791
Uruguay,South America,-34.9,-56.19,40741,134676,175417
Norway,Europe,59.91,10.75,52695,112885,165580
Asiatic,India & Southeast Asia,30.0,70.0,7823,130782,138605
Austrian Territories,Europe,45.65,13.77,28364,102838,131202
United States Of Colombia,Caribbean & Central America,10.4,-75.51,28264,89231,117495
Spanish West India Islands,Caribbean & Central America,20.0,-77.0,17365,99231,116597
Channel Islands,Europe,49.45,-2.35,22545,79560,102105
British West Africa,Africa,6.45,3.39,9385,89742,99127
Venezuela,Caribbean & Central America,10.6,-66.93,3327,93541,96868
Mauritius,Africa,-20.16,57.5,25249,70359,95608
Mexico,Caribbean & Central America,19.2,-96.14,31122,61356,92478
Aden,Africa,12.79,45.03,23726,65176,88902
Lagos,Africa,6.45,3.39,5290,79345,84635
Persia,Mediterranean & Levant,28.98,50.84,3289,56072,59361
The Gold Coast,Africa,5.55,-0.2,3480,51628,55107
Malta,Mediterranean & Levant,35.9,14.51,5120,44342,49462
Central America,Caribbean & Central America,13.0,-85.0,40975,6250,47225
Bolivia,South America,-17.78,-63.18,9035,31569,40604
Ecuador,South America,-2.19,-79.88,9235,23534,32769
Newfoundland,North America,47.56,-52.71,7600,23775,31375
Niger Protectorate,Africa,4.75,7.0,2240,28528,30768
Sierra Leone,Africa,8.48,-13.23,5222,19989,25210
Gibraltar,Mediterranean & Levant,36.14,-5.35,2896,22066,24962
Canary Islands,Europe,28.1,-15.42,19840,1806,21645
Portuguese Possessions In Western Africa,Africa,-8.84,13.23,1992,19321,21313
Madagascar,Africa,-18.15,49.41,6378,9443,15821
East Coast Of Africa,Africa,-6.16,39.19,6440,8207,14647
Dutch Guiana,South America,5.87,-55.17,3583,10254,13837
Siam,India & Southeast Asia,13.75,100.5,11921,996,12918
Tunis,Mediterranean & Levant,36.8,10.18,1147,9447,10594
Hayti And St Domingo,Caribbean & Central America,18.54,-72.34,3621,5882,9503
Roumania,Europe,45.43,28.05,144,9155,9299
Costa Rica,Caribbean & Central America,9.98,-83.03,7465,306,7771
Zanzibar And Pemba,Africa,-6.16,39.19,831,4295,5125
Islands In The Pacific,Australasia & Pacific,-18.14,178.44,37,4296,4333
Danish West India Islands,Caribbean & Central America,17.74,-64.7,458,3469,3927
British Honduras,Caribbean & Central America,17.5,-88.2,782,2989,3771
Cuba,Caribbean & Central America,23.11,-82.37,1489,1975,3464
Tripoli,Mediterranean & Levant,32.9,13.19,522,1671,2193
Gambia,Africa,13.45,-16.58,103,1453,1556
Fernando Po,Africa,3.75,8.78,109,1414,1523
Nicaragua,Caribbean & Central America,12.15,-86.27,1124,178,1302
Bermudas,North America,32.29,-64.78,350,738,1088
Cyprus,Mediterranean & Levant,35.1,33.4,111,940,1051
Congo Free State,Africa,-5.85,13.06,37,537,574
Tripoli And Tunis,Mediterranean & Levant,34.5,11.5,278,151,429
Bulgaria,Europe,43.2,27.91,5,244,249
Foreign West Indies,Caribbean & Central America,16.0,-73.0,98,0,98
Dutch West India Islands,Caribbean & Central America,12.11,-68.93,25,0,25
