flow,measure,group,article,year,values,max_value
import,value,,"Chicory, Raw or Kiln Dried „ Roasted or Ground",1897,"98,236,188,658",98236188658
import,quantity,,Feathers :For Beds Cwts.Ornamental,1892,"98,115,853,256",98115853256
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1899,"97,479,322,155",97479322155
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1882,"96,837,162,663",96837162663
export_uk,value,,"Matches, viz. :   Safety Matches . . . . Gross Boxes  Other Sorts . . . . „",1900,"96,000,692,100",96000692100
import,value,,"Chicory, Raw or Kiln Dried „ Roasted or Ground",1898,"94,335,108,769",94335108769
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1898,"92,208,818,359",92208818359
import,value,,"Feathers, for Beds . . . . .Ornamental . . . . .",1887,"89,968,965,383",89968965383
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1889,"88,664,971,415",88664971415
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1881,"79,115,978,257",79115978257
reexport,quantity,,"Metal : Leaf, not Gold Packets  Unenumerated, Unwrought Tons  Wrought or Manufactured ,,  Old, fit only to be re-manufactured",1898,"78,840,097,250",78840097250
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1897,"75,648,212,054",75648212054
export_uk,quantity,,"Matches, viz. :  Safety Matches Gross Boxes  Other Sorts",1899,"73,500,619,200",73500619200
export_uk,value,,"Matches, viz. :   Safety Matches . . . . Gross Boxes  Other Sorts . . . . „",1899,"73,500,619,200",73500619200
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1887,"73,350,869,083",73350869083
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1876,"72,086,661,203",72086661203
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1875,"72,005,545,148",72005545148
import,value,,"Coffee, Raw „ Kiln-dried, Roasted, or Ground „ and Chicory, Roasted or Ground, Mixed (see Chicoryand Coffee).",1896,"71,346,813,572",71346813572
export_uk,quantity,,"Meat: Beef, Pork, Bacon, and Hams - Cwts.  Medicines, Drugs, and Medicinal Preparations",1888,"70,760,932,154",70760932154
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1878,"70,175,638,645",70175638645
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1877,"69,346,417,991",69346417991
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1876,"67,231,926,021",67231926021
import,value,,Hats and Bonnets : Of Felt,1894,"64,930,110,898",64930110898
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1877,"64,566,234,900",64566234900
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1895,"64,316,842,526",64316842526
import,quantity,,Cork:  Unmanufactured Tons  Manufactured,1879,"61,614,973,021",61614973021
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1890,"61,058,904,997",61058904997
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1889,"60,546,928,837",60546928837
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1878,"58,752,553,886",58752553886
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1892,"58,098,873,653",58098873653
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1894,"57,606,841,074",57606841074
export_uk,quantity,,Paper : Hangings Cwts. Of other Sorts,1893,"56,956,852,801",56956852801
export_uk,quantity,,Paper Hangings Cwts.  Of other Sorts,1887,"55,175,765,920",55175765920
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1894,"51,520,116,671",51520116671
reexport,quantity,,"Metal : Leaf, not Gold Packets  Unenumerated, Unwrought Tons  Wrought or Manufactured ,,  Old, fit only to be re-manufactured",1895,"48,993,569,397",48993569397
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1875,"47,190,036,531",47190036531
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1895,"46,409,222,464",46409222464
reexport,quantity,,Hemp :Dressed or Undressed . . . . .Tow . . . . .Unenumerated Vegetable Substances applicable to the same uses as Hemp or Flax . . . . .,1899,"38,506,532,871",38506532871
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1887,"38,273,339,769",38273339769
reexport,value,Zinc,"Ore of Crude, in Cakes",1894,"37,235,010,215",37235010215
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1886,"36,604,312,814",36604312814
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1884,"36,233,260,544",36233260544
import,quantity,,Feathers :For Beds Cwts.Ornamental,1891,"35,601,714,575",35601714575
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1885,"35,470,299,100",35470299100
import,value,,Dye Woods :Logwood . . . . .Unenumerated . . . . .,1891,"33,584,686,069",33584686069
import,value,,Dye Woods :Logwood . . . . .Unenumerated . . . . .,1892,"33,353,868,410",33353868410
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1896,"32,401,126,309",32401126309
import,quantity,,Feathers :For Beds Cwts.Ornamental,1888,"31,610,655,488",31610655488
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1882,"31,291,568,928",31291568928
import,quantity,,Feathers :For Beds Cwts.Ornamental,1890,"30,411,804,666",30411804666
import,quantity,,"Rags, and other materials for making Paper : Linen and Cotton Rags Tons Esparto, and other Materials",1883,"28,543,288,549",28543288549
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1898,"28,171,713,212",28171713212
import,quantity,,Feathers :For Beds Cwts.Ornamental,1894,"26,883,916,123",26883916123
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1881,"26,636,342,774",26636342774
import,value,,Pitch and Tar :Pitch · · · · ·,1890,"26,578|26,578,129,821|26,578,120,821",26578129821
import,quantity,,Feathers :For Beds Cwts.Ornamental,1893,"25,378,873,194",25378873194
import,value,,Cheese Imitation Cheese,1899,"23,840,695,731",23840695731
reexport,value,,"Nuts, For expressing Oil therefrom - - - - - - - - - - - - - - - Other sorts, unenumerated (not Fruit) - - - - - - - - - - - - - - -",1897,"23,506,817,855",23506817855
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1877,"22,876,301,878",22876301878
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1875,"22,437,296,000",22437296000
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1876,"21,551,324,618",21551324618
reexport,value,,Chicory : Raw or Kiln-dried Roasted or Ground,1896,"20,624,609,458",20624609458
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1878,"20,602,264,799",20602264799
reexport,value,Zinc,"Ore of Crude, in Cakes",1896,"17,018,549,498",17018549498
import,quantity,,Feathers:  For Beds Cwts.  Ornamental,1879,"16,876,266,584",16876266584
reexport,quantity,,"Lead : Ore of Tons  Pig and Sheet ,,  Manufactures of, unenumerated",1897,"16,316,692,644",16316692644
reexport,value,,"Ether :  Acetic . . . . . Lbs.  Butyric . . . . . Gallons  Sulphuric . . . . . ,,",1900,"14,154,702,880",14154702880
import,quantity,,"Bark:  For Tanners' or Dyers' use ""  Peruvian",1879,"11,755,460,681",11755460681
reexport,value,,Chicory : Raw or Kiln-dried Roasted or Ground,1895,"10,859,126,868",10859126868
import,value,,"Hats and Bonnets, of Felt . . . . . Number",1890,"9,983,686,812|678,691|9,988,686,812|99,886",9988686812
import,value,,"Plums, French, and Prunellocs„ Dried or Preserved„ Raw (see Fruit).",1898,"9,758,259,049",9758259049
import,value,,"Hats and Bonnets, of Felt . . . . . Number",1889,"9,338,295,635|655,108|93,382",9338295635
import,value,,"Chicory, Raw or Kiln Dried „ Roasted or Ground",1899,"9,217,879,094",9217879094
import,value,,"Hats and Bonnets, of Felt . . . . . Number",1892,"8,884,164,150|616,970|8,881,164,150",8884164150
import,value,,Pitch and Tar : Pitch,1894,"8,107,271,356",8107271356
reexport,quantity,,"Metal : Leaf, not Gold Packets  Unenumerated, Unwrought Tons  Wrought or Manufactured ,,  Old, fit only to be re-manufactured",1894,"7,976,757,804",7976757804
import,value,,"Plums, French, and Prunellocs„ Dried or Preserved„ Raw (see Fruit).",1896,"7,697,039,861",7697039861
reexport,quantity,,Butter - - - - - - - - -Margarine (including all kinds of ImitationButter) - - - - -,1897,"7,082,814,355",7082814355
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1884,"6,862,622,929",6862622929
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1885,"6,854,926,991",6854926991
import,quantity,,Dyewoods:  Logwood Tons  Unenumerated,1885,"5,854,926,991|6,854,926,991",6854926991
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1894,"6,845,712,844",6845712844
import,quantity,,"Dyewoods:  Logwood ""  Unenumerated",1876,"6,421,524,855",6421524855
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1890,"6,351,924,321",6351924321
reexport,quantity,,Butter - - - - - - - - -Margarine (including all kinds of ImitationButter) - - - - -,1898,"6,349,110,023",6349110023
import,quantity,,Furniture and Hardwoods : Mahogany Tons Unenumerated,1884,"6,288,654,126",6288654126
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1888,"6,230,617,232",6230617232
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1892,"6,158,911,093",6158911093
import,quantity,,Dyewoods:  Logwood Tons  Unenumerated,1881,"6,064,327,272",6064327272
reexport,quantity,,Butter - - - - - - - - -Margarine (including all kinds of ImitationButter) - - - - -,1894,"5,839,010,616",5839010616
reexport,quantity,,Butter - - - - - - - - -Margarine (including all kinds of ImitationButter) - - - - -,1896,"5,836,811,484",5836811484
import,quantity,,"Dyewoods:  Logwood ""  Unenumerated",1875,"5,616,828,244",5616828244
import,quantity,,Furniture and Hardwoods : Mahogany Tons Unenumerated,1885,"5,605,355,983",5605355983
import,quantity,,Dyewoods : Logwood Tons Unenumerated,1886,"5,559,822,466",5559822466
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1886,"5,559,822,466",5559822466
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1891,"5,491,315,881",5491315881
import,value,,"Plums, French, and Prunellocs„ Dried or Preserved„ Raw (see Fruit).",1895,"5,360,134,371",5360134371
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1893,"5,230,021,057",5230021057
import,value,,"Plums, French, and Prunellocs„ Dried or Preserved„ Raw (see Fruit).",1899,"5,076,291,765",5076291765
import,quantity,,Furniture and Hardwoods : Mahogany Tons Unenumerated,1883,"5,015,862,786",5015862786
export_uk,quantity,,Total of Piece Goods,1887,"4,901,912,000|2,261,471",4901912000
import,quantity,,Furniture and Hardwoods : Mahogany Tons Unenumerated,1886,"4,873,250,717",4873250717
export_uk,quantity,,Total of Piece Goods,1892,"4,873,105,800|171,302,500",4873105800
import,quantity,,Dyewoods : Logwood Tons Unenumerated,1887,"4,872,024,807",4872024807
import,quantity,,Dyewoods :Logwood TonsUnenumerated,1887,"4,872,024,807",4872024807
export_uk,quantity,,Total of Piece Goods,1893,"4,652,217,400|158,335,300",4652217400
export_uk,quantity,,Total of Piece Goods,1883,"4,538,885,500",4538885500
import,quantity,,"Dyewoods:  Logwood ""  Unenumerated",1877,"4,524,516,513",4524516513
import,quantity,,"Dyewoods:  Logwood ""  Unenumerated",1879,"4,455,324,849",4455324849
import,quantity,,Dyewoods:  Logwood Tons  Unenumerated,1882,"4,126,926,252",4126926252
import,value,,"Plums, French, and Prunellocs„ Dried or Preserved„ Raw (see Fruit).",1897,"3,986,392,105",3986392105
import,quantity,,"Dyewoods:  Logwood ""  Unenumerated",1878,"3,831,116,037",3831116037
import,quantity,,Furniture and Hardwoods : Mahogany Tons Unenumerated,1887,"3,765,057,994",3765057994
export_uk,quantity,Cotton Manufactures,Total of Piece Goods,1870,"2,266,998,366|3,266,998,366|3,266,998,966",3266998966
export_uk,quantity,,Total,1870,"3,266,998,366",3266998366
export_uk,quantity,Cotton Manufactures,Total,1870,"3,266,998,366",3266998366
export_uk,quantity,,"Piece Goods, White or Plain",1883,"3,136,150,200",3136150200
export_uk,quantity,Cotton Manufactures,"Piece Goods: Unbleached, Grey Yards",1884,"3,095,353,700",3095353700
export_uk,quantity,,Total,1868,"2,977,106,551",2977106551
export_uk,quantity,,Total of Piece Goods,1868,"2,977,106,551",2977106551
export_uk,quantity,Cotton Manufactures,Total,1868,"2,977,106,551",2977106551
export_uk,quantity,Cotton Manufactures,Total of Piece Goods,1868,"2,977,106,551",2977106551
export_uk,quantity,,"Piece Goods, White or Plain",1882,"2,959,882,600|2,959,882,500",2959882600
export_uk,quantity,,Total,1869,"2,868,630,125",2868630125
export_uk,quantity,Cotton Manufactures,Total,1869,"2,868,630,125",2868630125
export_uk,quantity,,Total,1867,"2,832,013,707",2832013707
export_uk,quantity,Cotton Manufactures,Total,1867,"2,832,013,707",2832013707
reexport,value,Zinc,"Ore of Crude, in Cakes",1895,"2,755,110,946",2755110946
export_uk,quantity,,"Piece Goods, White or Plain",1877,"2,699,282,118",2699282118
import,value,,Pitch and Tar :Pitch,1892,"2,669,480,412|2,689,480,412",2689480412
import,value,,Pitch and Tar :Pitch · · · · ·,1889,"2,689,399,849|26,893",2689399849
export_uk,quantity,,"Piece Goods, White or Plain",1878,"2,539,166,400|2,639,166,400",2639166400
export_uk,quantity,,"Piece Goods, White or Plain",1874,"2,586,709,681|2,586,709,684",2586709684
export_uk,quantity,,Total,1866,"2,575,698,138",2575698138
export_uk,quantity,Cotton Manufactures,Total,1866,"2,575,698,138",2575698138
export_uk,quantity,,"Piece Goods, White or Plain",1875,"2,549,145,807",2549145807
reexport,value,,"Spirits, Brandy",1900,"2,537,123,384",2537123384
export_uk,value,,"Manufactures, viz:Piece Goods, including Handkerchiefsand Shawls in the Piece,viz:Wholly of Cotton, Unbleached,Grey Yards",1894,"2,268,328,700",2268328700
import,value,,Cheese Imitation Cheese,1896,"2,244,525,421",2244525421
export_uk,value,,"Manufactures, viz:Piece Goods, including Handkerchiefsand Shawls in the Piece,viz:Wholly of Cotton, Unbleached,Grey Yards",1895,"2,107,429,100",2107429100
export_uk,value,,"Manufactures, viz:Piece Goods, including Handkerchiefsand Shawls in the Piece,viz:Wholly of Cotton, Unbleached,Grey Yards",1896,"2,096,698,900",2096698900
export_uk,value,,"Manufactures, viz:Piece Goods, including Handkerchiefsand Shawls in the Piece,viz:Wholly of Cotton, Unbleached,Grey Yards",1897,"2,042,935,400",2042935400
export_uk,quantity,,"Piece Goods, White or Plain",1868,"2,030,859,372",2030859372
export_uk,quantity,,"Wholly of Cotton, Unbleached,Grey",1893,"1,944,188,100",1944188100
export_uk,value,,"Manufactures, viz:Piece Goods, including Handkerchiefsand Shawls in the Piece,viz:Wholly of Cotton, Unbleached,Grey Yards",1893,"1,944,188,100",1944188100
reexport,value,,"Ether :  Acetic . . . . . Lbs.  Butyric . . . . . Gallons  Sulphuric . . . . . ,,",1898,"1,763,154,124",1763154124
import,quantity,,"Ivory :Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse ,,Vegetable",1896,"1,691,130,129",1691130129
export_uk,quantity,Cotton Manufactures,"Bleached, White",1887,"1,430,609,600",1430609600
export_uk,quantity,Cotton Manufactures,"Dyed, or Manufactured of Dyed Yarn",1887,"1,430,609,600",1430609600
export_uk,quantity,Cotton Manufactures,"Printed, Dyed, or Coloured """,1888,"1,430,249,200",1430249200
export_uk,quantity,Cotton Manufactures,"Bleached, White",1886,"1,351,976,700",1351976700
export_uk,quantity,Cotton Manufactures,"Bleached, White",1884,"1,321,645,700",1321645700
export_uk,quantity,Cotton Manufactures,"Bleached, White",1885,"1,224,123,800",1224123800
import,quantity,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - „ Vegetable Ivory - - - - -",1896,"1,091,139,129",1091139129
import,quantity,,"Ivory : Teeth, Elephants', Sea-cows', or Walrus' ” Vegetable",1896,"1,091,130,129",1091130129
import,value,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - ,,  Vegetable Ivory",1896,"1,091,130,129",1091130129
import,quantity,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - „ Vegetable Ivory - - - - -",1895,"1,091,112,988",1091112988
import,quantity,,"Ivory :Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse ,,Vegetable",1895,"1,091,112,988",1091112988
import,value,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - ,,  Vegetable Ivory",1895,"1,091,112,988",1091112988
import,quantity,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - „ Vegetable Ivory - - - - -",1894,"1,039,433,076",1039433076
import,quantity,,"Ivory :Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse ,,Vegetable",1894,"1,039,433,076",1039433076
import,quantity,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - „ Vegetable Ivory - - - - -",1897,"1,028,816,412",1028816412
import,quantity,,"Ivory : Teeth, Elephants', Sea-cows', or Walrus' ” Vegetable",1897,"1,028,816,412",1028816412
import,quantity,,"Ivory :Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse ,,Vegetable",1897,"1,028,816,412",1028816412
import,value,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - ,,  Vegetable Ivory",1897,"1,028,816,412",1028816412
import,quantity,,"Ivory :Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse ,,Vegetable",1893,"1,001,840,438",1001840438
import,quantity,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - „ Vegetable Ivory - - - - -",1898,"1,000,212,716",1000212716
import,quantity,,"Ivory : Teeth, Elephants', Sea-cows', or Walrus' ” Vegetable",1898,"1,000,212,716",1000212716
import,value,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - ,,  Vegetable Ivory",1898,"1,000,212,716",1000212716
import,quantity,,"Ivory : Teeth, Elephants', Sea-cows', or Walrus' ” Vegetable",1899,"993,917,188",993917188
import,value,,"Ivory : Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse - ,,  Vegetable Ivory",1899,"993,917,188",993917188
import,quantity,,"Ivory : Teeth, Elephants', Sea-cows', or Walrus' ” Vegetable",1900,"988,913,972",988913972
export_uk,quantity,Cotton Manufactures,""" Printed, Dyed, or Colored",1866,"897,625,547",897625547
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1899,"560,106,000|860,106,000",860106000
export_uk,quantity,,"Dyed, or Manufactured of Dyed Yarn",1900,"840,602,800",840602800
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1900,"840,602,800",840602800
import,quantity,,Other Goats' Wool or Hair,1895,"770,955,203",770955203
export_uk,value,,"Dyed, or Manufactured ofDyed Yarn Yards",1896,"740,899,100",740899100
import,quantity,Wool,Sheep and Lambs',1892,"738,251,203",738251203
import,quantity,Wool,„ „ Other Goats' Wool or Hair,1897,"3,259,056|735,627,420",735627420
import,quantity,Wool,„ „ Other Goats' Wool or Hair,1896,"2,156,233|713,575,173",713575173
import,quantity,,Other Goats' Wool or Hair,1894,"700,550,262",700550262
import,quantity,,Other Goats' Wool or Hair,1893,"672,763,274",672763274
import,quantity,,Sheep or Lambs' Wool,1893,"672,763,274",672763274
export_uk,value,,"Dyed, or Manufactured ofDyed Yarn Yards",1894,"651,863,000",651863000
export_uk,value,,"Dyed, or Manufactured ofDyed Yarn Yards",1895,"648,816,000",648816000
export_uk,value,,"Dyed, or Manufactured ofDyed Yarn Yards",1897,"631,096,200",631096200
export_uk,quantity,,"Dyed, or Manufactured ofDyed Yarn",1893,"626,283,500",626283500
export_uk,value,,"Dyed, or Manufactured ofDyed Yarn Yards",1893,"626,283,500",626283500
reexport,quantity,,Butter - - - - - - - - -Margarine (including all kinds of ImitationButter) - - - - -,1895,"575,309,455",575309455
export_uk,quantity,"Ammunition, viz.",Perfusion Caps,1897,"451,436,000",451436000
export_uk,value,"Ammunition, viz",Perfusion Caps . . . . . -Number.,1893,"451,127,000",451127000
reexport,value,Wood and Timber,Furniture woods:  Mahogany,1896,"451,110,073",451110073
import,value,,TOTAL OF IMPORTS - - - - -,1896,"441,803,904",441803904
export_uk,quantity,"Ammunition, viz.",Perfusion Caps,1896,"411,450,600",411450600
export_uk,quantity,"Ammunition, viz.",Perfusion Caps,1895,"405,874,000",405874000
reexport,quantity,,Other Goats' Wool or Hair . . . . .,1895,"404,157,913|404,187,913",404187913
reexport,quantity,"Goats' Wool, viz.",Sheep or Lambs' Wool,1895,"404,187,913",404187913
reexport,quantity,Wool,Other Goats' Wool or Hair,1895,"404,187,913",404187913
reexport,quantity,Wool,Sheep or Lambs' Wool,1895,"404,187,913",404187913
export_uk,quantity,"Ammunition, viz.",Perfusion Caps,1899,"393,615,000",393615000
reexport,quantity,"Goats' Wool, viz.",Sheep or Lambs' Wool,1897,"370,841,212",370841212
export_uk,quantity,"Ammunition, viz.",Perfusion Caps,1898,"368,243,000",368243000
reexport,quantity,"Goats' Wool, viz.",Sheep or Lambs' Wool,1893,"345,793,611",345793611
reexport,quantity,"Goats' Wool, viz.",Sheep or Lambs' Wool,1894,"344,949,461",344949461
reexport,quantity,Wool,Other Goats' Wool or Hair,1894,"344,949,461",344949461
export_uk,quantity,,"Plate, viz. : Gold Ozs. Troy  Silver",1899,"344,137,936",344137936
reexport,quantity,,Other Goats' Wool or Hair . . . . .,1894,"341,949,461",341949461
reexport,quantity,"Goats' Wool, viz.",Sheep or Lambs' Wool,1896,"334,403,903",334403903
reexport,quantity,,Other Goats' Wool or Hair . . . . .,1893,"315,793,611",315793611
import,quantity,,Tea,1900,"298,900,200",298900200
import,value,,TOTAL,1868,"294,693,608|39,432,624",294693608
reexport,quantity,Wool,Sheep or Lambs' Wool,1898,"292,799,721",292799721
export_uk,quantity,,Worsted Stuff,1873,"282,884,692",282884692
reexport,value,,TOTAL from the UNITED KINGDOM -,1899,"264,492,211",264492211
export_uk,quantity,,Worsted Stuff,1874,"261,135,081",261135081
export_uk,quantity,,Jute Manufactures: Piece Goods,1896,"257,146,200",257146200
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1888,"255,846,100",255846100
export_uk,quantity,Linen Manufactures,Total,1866,"255,468,689",255468689
import,quantity,,"Wool, Sheep, Lamb, Alpaca, and the Llama Tribe",1868,"252,744,155",252744155
export_uk,quantity,,Worsted Stuff,1875,"251,845,549",251845549
export_uk,quantity,,Cotton Yarn and Twist :  Grey Lbs.  Bleached and Dyed,1887,"251,026,000",251026000
reexport,value,,TOTAL from the UNITED KINGDOM -,1896,"240,145,551",240145551
reexport,value,,TOTAL from ENGLAND and WALES -,1899,"236,945,087",236945087
reexport,value,,TOTAL from the UNITED KINGDOM -,1897,"234,219,708",234219708
reexport,value,,TOTAL from the UNITED KINGDOM -,1898,"233,359,240",233359240
export_uk,quantity,Linen Manufactures,Total,1870,"226,403,432",226403432
reexport,value,,TOTAL from the UNITED KINGDOM -,1895,"226,128,246",226128246
export_uk,quantity,,Worsted Stuff,1876,"221,561,999",221561999
reexport,value,,TOTAL from the UNITED KINGDOM . . . . .,1893,"217,217,367",217217367
import,quantity,,"Petroleum, Illuminating",1900,"215,268,480",215268480
export_uk,quantity,Linen Manufactures,Total,1869,"214,727,002",214727002
export_uk,value,,"Cotton, viz:Yarn and Twist for Weaving, viz:Grey Lbs.",1895,"211,521,600|7,455,996",211521600
export_uk,quantity,Linen Manufactures,Total,1867,"211,275,196",211275196
export_uk,value,,"Cotton, viz:Yarn and Twist for Weaving, viz:Grey Lbs.",1897,"7,943,200|210,373,700",210373700
export_uk,quantity,Linen Manufactures,Total of Piece Goods,1868,"210,114,382",210114382
export_uk,quantity,Linen Manufactures,Total,1868,"210,049,678",210049678
reexport,quantity,,Wax (including Ozokerit and Earth Wax) Cwts.Whalebone (including Finners),1899,"207,491,092",207491092
export_uk,value,,"Cotton, viz:Yarn and Twist for Weaving, viz:Grey Lbs.",1896,"206,208,900|8,148,567",206208900
export_uk,quantity,Linen Manufactures,"Piece Goods, White or Plain",1869,"201,658,286|204,658,286",204658286
reexport,value,,Scarborough -,1876,"200,639,204",200639204
reexport,value,,Scarborough -,1877,"198,893,065",198893065
export_uk,value,,"Cotton, viz:Yarn and Twist for Weaving, viz:Grey Lbs.",1894,"198,513,400|7,489,228",198513400
export_uk,quantity,Linen Manufactures,"Piece Goods, White or Plain",1868,"197,635,508",197635508
export_uk,quantity,,Worsted Stuff,1877,"194,777,034",194777034
reexport,value,,Scarborough -,1878,"192,848,914",192848914
reexport,value,,TOTAL from ENGLAND and WALES . . . . .,1893,"191,641,977",191641977
export_uk,quantity,Linen Manufactures,White and Plain,1867,"191,557,866",191557866
export_uk,quantity,,Jute Manufactures,1880,"183,202,400|183,202,100",183202400
export_uk,value,,TOTAL - - - - -,1868,"179,677,812",179677812
export_uk,quantity,,"Piece Goods, White or Plain",1895,"178,865,500",178865500
export_uk,value,,"Linen Manufactures: Piece Goods, White or Plain Yards",1895,"3,488,369|178,865,500",178865500
import,quantity,,"Petroleum, Illuminating . . . . .",1895,"177,146,628",177146628
import,value,,"Petroleum, Illuminating . . . . . Gallons",1895,"3,368,904|177,146,628",177146628
export_uk,quantity,,Worsted Coatings and Suitings,1890,"172,420,500",172420500
export_uk,value,,"Worsted Coatings and Stuffs . . . . . """,1890,"172,420,500",172420500
export_uk,value,,"Worsted Coatings and Stuffs . . . . . """,1889,"171,653,300",171653300
export_uk,value,,"Cotton, viz:Yarn and Twist for Weaving, viz:Grey Lbs.",1893,"170,441,200",170441200
export_uk,quantity,Woollen and Worsted Manufactures,Worsted Coatings and Stuffs,1895,"164,038,600",164038600
reexport,quantity,,Wax (including Ozokerit and Earth Wax) Cwts.Whalebone (including Finners),1900,"157,861,168",157861168
export_uk,quantity,,"Piece Goods, White or Plain",1892,"156,254,800",156254800
export_uk,value,,"Linen Manufactures: Piece Goods, White or Plain Yards",1892,"156,254,800|3,448,159",156254800
import,quantity,,Tea,1868,"154,845,863|154,815,863",154845863
export_uk,quantity,,"Piece Goods, White or Plain",1896,"150,849,300",150849300
export_uk,value,,"Linen Manufactures: Piece Goods, White or Plain Yards",1896,"150,849,300|3,146,341",150849300
export_uk,quantity,Woollen Manufactures,Worsted Coatings and Stuffs,1888,"148,180,500",148180500
export_uk,quantity,,Worsted Coatings and Stuffs,1891,"144,530,500|144,630,500",144630500
export_uk,quantity,,Worsted Coatings and Suitings,1891,"144,530,500",144530500
export_uk,value,,"Worsted Coatings and Stuffs . . . . . """,1891,"144,530,500",144530500
reexport,quantity,,Wax (including Ozokerit and Earth Wax) Cwts.Whalebone (including Finners),1896,"143,041,817",143041817
export_uk,quantity,,Worsted Coatings and Suitings,1892,"142,514,200",142514200
export_uk,quantity,,"Plain, Unbleached or Bleached Yards",1900,"141,563,300",141563300
export_uk,quantity,,"Piece Goods, White or Plain",1893,"139,682,300",139682300
