source_label,standard_country,summed_subregion,note
argentine republic,Argentina,,
australasia,Australasia,yes,
australia,Australasia,yes,
new south wales,Australasia,yes,
new zealand,Australasia,yes,
victoria,Australasia,yes,
west australia,Australasia,yes,
austrian territories,Austria-Hungary,,
belgium,Belgium,,
bermudas,Bermuda,,
brazil,Brazil,,
british ea indies,British East Indies,,
british guiana,British Guiana,,
british honduras,British Honduras,,
british india and burma,British India & Burma,yes,
british india bombay and scinde,British India & Burma,yes,
british west india islands,British West Indies,,
british west indian islands,British West Indies,,
british west indies,British West Indies,,
canada,Canada,,
british possessions in south africa,Cape of Good Hope,yes,
cape of good hope,Cape of Good Hope,yes,
central america,Central America,,
ceylon,Ceylon,,
channel islands,Channel Islands,,
chili,Chile,,
china,China,,
new granada,Colombia,yes,
republic of colombia,Colombia,yes,
united states of colombia,Colombia,yes,
costa rica,Costa Rica,,
cuba and porto rico,Cuba & Puerto Rico,,
danish west india islands,Danish West Indies,,
denmark,Denmark,,
dutch guiana,Dutch Guiana,,
east coast of africa,East Africa,,
egypt,Egypt,,
falkland islands,Falkland Islands,,
france,France,,
french possessions in west ern africa,French West Africa,yes,
french possessions in west ern africa senegambia,French West Africa,yes,
french possessions in western africa,French West Africa,yes,
french west africa,French West Africa,yes,
germany,Germany,,
gibraltar,Gibraltar,,
gold coast colony,Gold Coast,,
the gold coast,Gold Coast,,
the gold coast colony,Gold Coast,,
greece,Greece,,
hayti,Haiti & Santo Domingo,,
hayti and st domingo,Haiti & Santo Domingo,,
honduras not british,Honduras,,
hong kong,Hong Kong,,
italy,Italy,,
japan,Japan,,
java,Java,,
madagascar,Madagascar,,
madeira,Madeira,,
malta,Malta,,
mauritius,Mauritius,,
mexico,Mexico,,
morocco,Morocco,,
holland,Netherlands,,
newfoundland,Newfoundland,,
nicaragua,Nicaragua,,
niger protectorate,Niger Protectorate,,
norway,Norway,,
other british posses sions,Other British possessions,,
other british possessions,Other British possessions,,
oth foreign countries,Other foreign countries,,
other countries,Other foreign countries,,
other foreign countries,Other foreign countries,,
unenumerated,Other foreign countries,,
peru,Peru,,
philippine islands,Philippines,,
portugal,Portugal,,
roumania,Romania,,
russia,Russia,,
siam,Siam,,
spain,Spain,,
spanish west india islands,Spanish West Indies,,
sweden,Sweden,,
sweden and norway,Sweden & Norway,,combined print (cannot split)
turkey,Turkey,,
turkey european,Turkey,,
on the atlantic,United States,yes,
on the pacific,United States,yes,
southern ports,United States,yes,
united states of america,United States,yes,
uruguay,Uruguay,,
venezuela,Venezuela,,
the west coast of africa,West Africa (unspecified),yes,
west africa not distinguished,West Africa (unspecified),yes,
west coast of africa foreign,West Africa (unspecified),yes,
west coast of africa not particularly designated,West Africa (unspecified),yes,
western africa,West Africa (unspecified),yes,
western coast of africa,West Africa (unspecified),yes,
western coast of africa not particularly designated,West Africa (unspecified),yes,
lbs 314 385,DROP,,"OCR bleed, not a country"
lbs 810 980,DROP,,"OCR bleed, not a country"
mahogany,DROP,,"OCR bleed, not a country"
sheep and lambs,DROP,,"OCR bleed, not a country"
british west indies and guiana,British West Indies And Guiana,,UNMAPPED — review (1 rows)
scinde,Scinde,,UNMAPPED — review (1 rows)
