wrong_group,right_group,note
HORS,HOPS,"OCR garble of HOPS (P->R). Blocks in as_1872/73/74/76/80/84/92; origins Germany/Holland/Belgium/US in Cwts; as_1873 TOTAL 122,729 and as_1880 TOTAL 195,987 match T1 hops exactly."
Hors,HOPS,Case variant of the same garble.
BRIINSTONE,BRIMSTONE,"OCR garble (M->II). as_1877 block: Italy (Sicily) 1,004,591 of TOTAL 1,085,614 == T1 brimstone exactly."
BREMTONE,BRIMSTONE,"OCR garble. as_1882 block: Italy 929,325 of TOTAL 945,561 == T1 exactly."
GALIS,GALLS,"OCR garble (LL->LI). as_1887 block: Turkey/China/Hong Kong; TOTAL 26,164 == T1 galls exactly."
CAOUTCHOUQUE,CAOUTCHOUC
CACOUTCHOUC,CAOUTCHOUC
CAOUTCHOUK,CAOUTCHOUC
CAOUTCHOUQ,CAOUTCHOUC
CAOUTCHOUCC,CAOUTCHOUC
CAOUTCHOU,CAOUTCHOUC
CAOUTCHOUO MANUFACTURES,CAOUTCHOUC MANUFACTURES
CAOUTCHOUQ MANUFACTURES,CAOUTCHOUC MANUFACTURES
CAOUTCHOUIC,CAOUTCHOUC
GIL,OIL,"OCR garble of OIL (O->G, I->I). as_1884 ONLY, and it carries the WHOLE oils section — Fish/Train/Blubber, Sperm, Animal, Castor, Coco-nut, Olive, Palm, Seed, Turpentine, Chemical/Essential/Perfumed, Unenumerated, 100 rows at seq 1636-1735. Proof it is the oils: the Olive block's printed TOTAL 17,213 Tuns is olive oil's national total for 1884 to the digit, and the Animal block's 95,781 is thirty cwt from its 95,811. Every 1884 oil commodity read 0.00 origins against a closing 1883 and 1886."
"CHINA OR PORCELAIN, AND EARTHENWARE","CHINA, OR PORCELAIN, AND EARTHENWARE","Comma variant of the same printed heading - all three spellings sig identically (china+earthenware+porcelain). Needed once the as_1897 glue-block supersede redistributed which literal label carries china: without it the payload's commodity merge SPLIT the node in two (1878-99 and 1883-93) and 1887, 1888 and 1890 fell to nodata. Do NOT alias 'CHINA OR PORCELAIN WARE' - that is the separate 1876-81 line."
CHINA OR PORCELAIN AND EARTHENWARE,"CHINA, OR PORCELAIN, AND EARTHENWARE",Comma-less variant of the same heading (as_1883-86). Same reason as the row above.
