fiscal_year,table_seq,match_article,match_country,match_province,match_val_imp,match_val_efc,action,set_article,set_article_parent,set_country,set_row_kind,set_province,set_val_imp,set_val_efc,set_duty,note
1880,418,,China,Quebec,58942,,set,,,,,Ontario,,,,tea Black-other t418-419: province labels slipped; TOT Ontario closes exactly in vi/ve and duty lands within 30c
1880,418,,China,Manitoba,59307,,set,,,,,Quebec,,,,tea: TOT Quebec then exact in vi AND ve; duty residual 10530.84 is exactly this row's duty
1880,418,,China,British Columbia,1499,,set,,,,,Manitoba,NULL,,,tea: parsed row fuses two printed rows; efc 235 + duty 47.88 are Manitoba's (TOT Man duty residual 47.88 exact); val 1499 moves to the restored BC row
1880,418,,China,Manitoba,,235,add,,,,,British Columbia,1499,3598,720.60,tea: the dropped China BC row; ve 3598 proven by China country total 92540 = 38148+50559+235+3598 AND TOT BC ve; duty 720.60 = TOT BC 949.87 - GB 188.96 - StP 40.31
1880,418,,Japan,Quebec,1905,,set,,,,,Ontario,,,,tea: TOT Ontario ve closes exactly only with Japan 2080 in Ontario
1880,418,,St. Pierre,British Columbia,219,,set,,,,,Nova Scotia,,,,tea: TOT NS residual 219/219 and duty 40.34 vs StP 40.31; StP country total 233 unchanged
1885,257,Spades and shovels,,,41333,,rename_span,All other articles and parts thereof,,,,,,,,"t256 second Spades block is the next tariff line; Summary No.2 value-match EXACT: All other articles and parts thereof = 41,333"
1885,,"Ginger and spices of all kinds, &c",,,,,rename_article,Ginger and spices of all kinds (except nutmegs and mace) unground,,,,,,,,"the &c name is the page-top running head; GS heading at raw line 136225 reads unground; Summary EXACT on val_imp 127,900"
1887,330,,United States,Quebec,38212,,set,,,,,Ontario,,,,"calf-kid skins colored: US run detail; TOTAL-block Ontario absent and 83,351-45,139=38,212 vi / 84,828-50,141=34,687 ve both exact; print order Ont first"
1887,330,,TOTAL,Quebec,43119,,set,,,United States,detail,,,,,"calf-kid: the TOTAL rows are the US run misread; 38,212+43,119+302+205+1,513=83,351 vi and 34,687+48,121+302+205+1,513=84,828 ve EXACT"
1887,330,,TOTAL,New Brunswick,302,,set,,,United States,detail,,,,,"calf-kid US run, see 43,119 row"
1887,330,,TOTAL,Manitoba,205,,set,,,United States,detail,,,,,"calf-kid US run, see 43,119 row"
1887,330,,TOTAL,British Columbia,1513,,set,,,United States,detail,,,,,"calf-kid US run, see 43,119 row"
1887,330,,,,83351,,set,,,United States,country_total,,,,,"calf-kid: 83,351 is the US country total, not an article_total; article total is 217,108 = GB 25,785 + US 83,351 + France 85,643 + Germany 22,283 + BEI 46 EXACT in vi"
