volume,year,flow,article_group,article,country_raw,old_value,new_value,witnesses
as_1874,1874,export_uk,BEEF and ALE,,Bengal and Burmah,67577.0,264249.0,"hand: labels one row early from Bengal on (barrels 73768 = 1873's 73415); parser lost a label above and duplicated 'Other Countries' at the end, so no shortfall for repair_label_merge; SA/Bombay/Madras left ambiguous"
as_1874,1874,export_uk,BEEF and ALE,,Straits Settlements,264249.0,31132.0,"hand: labels one row early from Bengal on"
as_1874,1874,export_uk,BEEF and ALE,,Ceylon,31132.0,37576.0,"hand: labels one row early from Bengal on"
as_1874,1874,export_uk,BEEF and ALE,,Hong Kong,37576.0,25981.0,"hand: labels one row early from Bengal on"
as_1874,1874,export_uk,BEEF and ALE,,Australia,25981.0,557744.0,"hand: labels one row early from Bengal on (118418 barrels; 1873 Australia 528953/124071 bbl, 1876 475608)"
as_1874,1874,export_uk,BEEF and ALE,,British North America,557744.0,80647.0,"hand: labels one row early from Bengal on (1873 BNA 69082, 1876 42503)"
as_1874,1874,export_uk,BEEF and ALE,,British West India Islands and British Guiana,80647.0,121055.0,"hand: labels one row early from Bengal on"
as_1874,1874,export_uk,BEEF and ALE,,Other Countries,121055.0,140215.0,"hand: labels one row early from Bengal on"
as_1874,1874,export_uk,BEEF and ALE,,Other Countries,140215.0,,"hand: duplicated last label; its value is the real Other Countries, moved to the row above"
as_1896,1896,reexport,TEA,Total,Russia,110235.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2437); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Sweden and Norway,10912.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2438); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Denmark,51630.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2439); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Channel Islands,809955.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2440); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Gibraltar,278255.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2441); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Malta and Gozo,161762.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2442); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,British Possessions in South Africa,905668.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2443); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,British North America,4842458.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2444); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,British West Indies,291823.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2445); found by the Canada mirror (CY1896 ratio 0.60)"
as_1896,1896,reexport,TEA,Total,Other British Possessions,166170.0,,"hand 2026-09-01: the TEA Total-by-destination section reads QUANTITIES (lbs; TOTAL 34,027,806 = the year's tea re-exports in lbs) in the value column -- column crossing, whole section; BNA 4,842,458 lbs ~ GBP190K, the sub-article rows carry the values. Null-out (row_seq 2446); found by the Canada mirror (CY1896 ratio 0.60)"
